Company,Segment,Website,Contact URL,Phone,Email,Key Signal,Target Titles,Fit Score,LinkedIn Company,LinkedIn Contact,LinkedIn Contact URL
Marathon Fitness,Commercial fitness distributor,https://www.marathonfitness.com/,https://www.marathonfitness.com/contact/,800.391.9496,sales@marathonfitness.com,"One of the largest providers of fitness equipment in the U.S.; serves Fortune 500, hospitality, multifamily, and clubs.","Commercial Sales Representative; Inside Sales Representative; Territory Sales Manager; Service Manager",9,https://www.linkedin.com/company/marathonfitness,, 
Fitnessmith,Commercial fitness distributor,https://fitnessmith.com/,https://fitnessmith.com/,561.529.5590,info@fitnessmith.com,"Nationwide presence across all 50 states; design, procurement, installation, maintenance, and pre-owned trade-in/removal.","Director of Commercial Sales; Commercial Sales Rep; Trade-In Program Manager; Service Manager",10,https://www.linkedin.com/company/fitnessmith-equipment-sales,Michael Scichilone,https://www.linkedin.com/in/michael-scichilone-14998b4
Fit Supply,Commercial fitness distributor,https://fitsupply.com/,https://fitsupply.com/about-us/,877-344-3368,sales@fitsupply.com,"Nationwide turnkey commercial fitness provider with 50-state reach and 100+ installation partners.","Sales Representative; Project Manager; Installation Coordinator; Owner; President",10,https://www.linkedin.com/company/fit-supply,Ryan Freeman,https://www.linkedin.com/in/ryan-freeman-88a4998
Johnson Commercial Fitness,Commercial fitness distributor,https://www.johnsonfitness.com/Commercial/Index,https://www.johnsonfitness.com/Commercial/Support,1-866-624-9588,,"Nationwide commercial solutions with account managers by state and expert delivery, installation, used/refurbished, and maintenance.","Commercial Account Manager; Regional Commercial Manager; Account Manager",9,https://www.linkedin.com/showcase/johnson-commercial-fitness/,Ron Adams,https://www.linkedin.com/in/ron-adams-32400114
Advantage Sport & Fitness,Commercial fitness distributor,https://advantagefitness.com/,https://advantagefitness.com/contact/,,info@advantagefitness.com,"Large commercial fitness provider with consultants, designers, installation technicians, and service techs; active regional expansion.","Fitness Consultant; Installation Technician; Service Technician; Customer Sales and Service Support",8,,,
G&G Fitness Equipment,Commercial fitness distributor,https://ggfitness.com/,https://www.ggfitness.com/pages/contact-retail,,contact@ggfitness.com,"Commercial equipment sales, financing, and service support; public documents reference Director of Commercial Sales and National Segment Manager titles.","Director of Commercial Sales; National Segment Manager; Commercial Sales Team",7,,,
Direct Fitness Solutions,Commercial fitness distributor,https://directfitnesssolutions.com/,https://directfitnesssolutions.com/contact-us/,,,"Gym design consultations, installation support, and branded commercial solutions.","Commercial Sales Manager; Design Consultant; Project Manager",7,,,
Repetition Fitness,Corporate wellness equipment supplier,https://repetitionfitness.com/,https://repetitionfitness.com/pages/corporate-wellness-facilities,,,"Corporate wellness equipment supplier across the U.S. with layout consultation, delivery coordination, and installation support nationwide.","Corporate Wellness Sales Manager; Project Coordinator; Facility Design Consultant",7,,,
RX Fitness Equipment,Commercial fitness distributor,https://rxfitnessequipment.com/commercial-sales/,https://rxfitnessequipment.com/commercial-sales/,,,"Commercial sales plus delivery and installation across gyms, hospitality, rehab, and other facilities.","Commercial Sales; Design Consultant; Installation Manager",6,,,
Comm-Fit,Commercial fitness distributor,https://comm-fit.com/,https://comm-fit.com/,,,"Commercial flooring and equipment installation model with useful supplier-style signals.","Commercial Sales; Installation Manager",5,https://www.linkedin.com/company/commfitness,, 
